Instance,Year of Record,Age,Size of City,Wears Glasses,Body Height [cm]
33912,2008.0,23.0,762515,0,179
33913,2014.0,32.0,1210744,1,158
33914,1999.0,35.0,481889,1,163
33915,1994.0,30.0,33449,0,220
33917,2009.0,14.0,2084606,0,168
33918,2014.0,35.0,87264,0,172
33920,1995.0,19.0,253337,0,201
33921,1983.0,27.0,1435926,0,177
33922,1985.0,47.0,906663,1,161
33923,2006.0,18.0,457705,0,206
33924,2017.0,49.0,44104,0,134
33925,1986.0,44.0,717129,1,197
33927,2003.0,23.0,55573,1,173
33928,2004.0,28.0,1104556,0,171
33930,2013.0,23.0,950953,0,166
33931,2001.0,38.0,522292,0,172
33932,1983.0,15.0,97074,0,171
33934,2018.0,23.0,12496,0,187
33935,1980.0,54.0,507750,1,185
33937,2009.0,46.0,2512703,0,185
33938,1984.0,43.0,2081442,0,196
33939,1996.0,53.0,51179,0,198
33940,1981.0,47.0,247687,0,129
33941,2009.0,33.0,1136474,1,178
33942,1987.0,33.0,284823,1,169
33944,1997.0,26.0,958511,0,199
33947,2002.0,30.0,47143,1,202
33948,1994.0,15.0,1095341,0,207
33949,2004.0,81.0,80993,0,164
33950,2003.0,57.0,553043,1,163
33951,2015.0,36.0,242281,1,194
33953,2016.0,53.0,59174,0,163
33954,1980.0,48.0,552041,0,188
33955,1984.0,51.0,63591,1,181
33956,2015.0,34.0,1674221,0,151
33957,2013.0,18.0,602755,0,201
33958,1996.0,44.0,735198,1,192
33960,1993.0,28.0,56817,0,187
33961,1999.0,37.0,62902,0,178
33962,1999.0,18.0,1200820,1,183
33963,2000.0,71.0,353032,1,151
33964,1989.0,41.0,1543835,0,204
33965,1989.0,47.0,1265569,1,187
33966,1981.0,22.0,1794071,1,164
33967,1998.0,44.0,352821,1,185
33968,1997.0,25.0,38975,1,178
33969,2010.0,24.0,390395,1,179
33970,2015.0,19.0,419764,0,169
33972,2019.0,67.0,62420,0,162
33973,2019.0,43.0,2050526,1,163
33974,1996.0,16.0,18365,0,138
33976,1982.0,18.0,13171,1,169
33977,2010.0,29.0,676712,0,169
33979,2001.0,24.0,370,0,175
33980,1993.0,14.0,629637,0,212
33981,1983.0,54.0,463295,0,195
33982,1991.0,44.0,1063073,0,154
33983,2003.0,40.0,1818143,0,184
33984,2014.0,19.0,303891,1,167
33987,1998.0,17.0,99661,1,189
33988,2002.0,18.0,1743074,0,119
33989,1981.0,53.0,919107,1,183
33990,2019.0,50.0,273488,1,183
33991,1987.0,23.0,39072,1,163
33992,1986.0,52.0,55544,0,192
33993,2005.0,27.0,4258,0,151
33994,2010.0,47.0,208391,1,178
33995,1998.0,30.0,80475,0,197
33996,1985.0,59.0,73899,1,165
33998,1982.0,40.0,36934,1,191
34000,2018.0,57.0,24617,1,188
34001,1997.0,21.0,1059450,0,181
34002,2002.0,40.0,332191,1,160
34003,2013.0,60.0,558240,1,161
34005,1980.0,42.0,249166,1,190
34006,2010.0,58.0,1851540,1,202
34007,1987.0,52.0,2112232,1,188
34008,1982.0,66.0,1667068,0,204
34009,2006.0,24.0,39094,0,163
34011,1997.0,51.0,46000,0,184
34012,2012.0,39.0,14961,0,129
34013,2013.0,35.0,35284,1,153
34014,1993.0,39.0,1113199,0,155
34015,2017.0,19.0,1275914,0,162
34016,1990.0,17.0,70173,0,157
34017,1989.0,26.0,34344,1,164
34018,1980.0,18.0,634233,0,145
34019,2009.0,58.0,97102,0,175
34020,1995.0,42.0,811711,1,152
34021,1987.0,21.0,1563031,0,163
34022,2004.0,49.0,2161115,1,171
34023,2004.0,26.0,42979,0,149
34024,2005.0,52.0,36826,1,165
34025,2009.0,46.0,959044,1,160
34026,2011.0,35.0,1304050,1,179
34027,1980.0,40.0,85579,0,138
34028,2013.0,18.0,1431495,0,178
34029,2009.0,14.0,1094716,0,177
34031,1990.0,35.0,23248828,1,207
34032,2013.0,67.0,1146940,0,168
34033,1985.0,33.0,690812,0,153
34034,1989.0,65.0,1648547,0,169
34035,2011.0,15.0,534431,1,142
34036,1990.0,17.0,66677,1,168
34037,1992.0,36.0,436181,0,210
34038,1989.0,25.0,71525,1,197
34039,1995.0,49.0,99526,1,191
34041,1982.0,48.0,20168,1,185
34042,1981.0,48.0,835840,1,145
34043,1997.0,17.0,1521717,0,150
34044,1981.0,21.0,33037,0,197
34045,2014.0,48.0,1138187,1,208
34047,2009.0,53.0,1111883,0,158
34049,1989.0,30.0,284859,0,162
34050,1996.0,51.0,70619,1,152
34051,1989.0,79.0,14695,0,185
34052,2018.0,72.0,502067,0,193
34053,2011.0,31.0,1599338,0,160
34054,2006.0,22.0,799110,0,134
34056,1984.0,21.0,16799,1,180
34057,2009.0,42.0,636045,0,161
34058,1997.0,73.0,709363,0,159
34059,1997.0,62.0,21202,1,143
34060,1988.0,53.0,491471,0,169
34062,2016.0,59.0,2103513,1,176
34063,1998.0,67.0,60743,1,174
34064,1988.0,21.0,78339,0,158
34065,2016.0,50.0,204269,0,156
34066,1991.0,37.0,58702,1,165
34067,1984.0,27.0,915337,1,195
34068,2006.0,26.0,909493,1,154
34069,1988.0,39.0,81818,0,190
34071,1991.0,31.0,2045824,1,173
34072,1989.0,21.0,214763,1,158
34073,1990.0,26.0,1683875,1,152
34074,1989.0,19.0,907819,1,183
34075,1993.0,19.0,36800991,0,179
34076,2007.0,88.0,379670,1,160
34077,2006.0,34.0,3121456,0,154
34079,2010.0,45.0,745849,0,148
34080,2001.0,20.0,482016,0,209
34081,2008.0,27.0,312940,1,190
34082,2006.0,33.0,1021971,0,187
34083,2001.0,31.0,961075,0,160
34086,2007.0,33.0,24489,0,200
34087,2000.0,45.0,947931,1,181
34089,1990.0,21.0,1062827,0,191
34090,2011.0,30.0,885798,1,174
34091,2004.0,35.0,1252122,0,194
34094,2017.0,59.0,2223,1,159
34095,2001.0,42.0,75009,1,187
34097,1987.0,26.0,283938,1,202
34098,2012.0,36.0,1784130,0,162
34100,1984.0,83.0,2139338,0,150
34101,1984.0,43.0,88713,1,151
34102,2007.0,48.0,1149229,0,170
34103,1984.0,24.0,70634,1,185
34104,1989.0,17.0,334215,1,143
34106,1994.0,43.0,681527,1,174
34107,1983.0,18.0,613662,0,156
34108,1980.0,43.0,412439,0,196
34111,1993.0,24.0,936573,1,185
34112,2003.0,24.0,18159,1,143
34113,1983.0,30.0,1291099,1,204
34114,1990.0,35.0,1451400,1,166
34115,2006.0,37.0,1577490,0,201
34116,2012.0,32.0,416825,1,154
34117,1986.0,39.0,873459,1,161
34118,1994.0,68.0,1434769,0,168
34119,1995.0,72.0,603344,0,161
34121,1998.0,30.0,1510577,0,169
34122,2005.0,54.0,427808,1,153
34123,1994.0,27.0,89522,0,182
34125,2013.0,30.0,15205,0,172
34126,1994.0,62.0,94672,0,159
34127,2012.0,19.0,77076,0,164
34130,1995.0,20.0,1139680,1,183
34131,1987.0,50.0,46185,0,174
34132,1996.0,39.0,185170,0,190
34133,1986.0,60.0,1798134,1,156
34135,1994.0,30.0,1224823,0,183
34136,2001.0,31.0,1492170,0,151
34137,1994.0,35.0,2252653,1,195
34138,1990.0,40.0,759613,0,154
34140,1984.0,57.0,1206711,0,163
34142,1997.0,52.0,186354,0,173
34144,1994.0,23.0,2007904,1,191
34145,1982.0,56.0,74369,1,178
34146,1995.0,63.0,69200,1,165
34147,1984.0,14.0,67214,0,177
34148,2017.0,22.0,891419,1,177
34149,1980.0,22.0,18350464,1,193
34150,2002.0,40.0,1190261,0,158
34151,1984.0,20.0,35239,1,212
34152,2011.0,41.0,470687,0,158
34153,2014.0,51.0,49766,1,176
34154,1999.0,67.0,555209,0,176
34155,2001.0,50.0,18570,0,187
34157,2011.0,43.0,1644034,1,155
34158,1983.0,24.0,46500,1,177
34159,1992.0,32.0,45084,0,152
34161,2015.0,37.0,13741,1,203
34162,1989.0,62.0,320923,0,183
34163,2019.0,42.0,260827,1,171
34164,1981.0,50.0,1006287,1,191
34165,2017.0,23.0,915494,0,156
34166,2006.0,19.0,743250,0,159
34167,2014.0,24.0,480713,0,197
34168,2002.0,45.0,78926,1,166
34169,2002.0,25.0,430578,0,194
34170,1997.0,14.0,28567871,1,128
34171,1982.0,24.0,868347,0,174
34172,2019.0,59.0,93270,0,192
34174,2011.0,54.0,1450245,0,167
34175,2005.0,43.0,52804,1,185
34180,1990.0,39.0,32382,1,179
34181,1994.0,67.0,4654,0,165
34182,2004.0,35.0,844988,0,201
34183,2000.0,43.0,1136164,0,198
34184,1988.0,32.0,17786,0,157
34185,1988.0,16.0,1135649,0,221
34186,1988.0,28.0,88782,1,178
34187,2002.0,47.0,46257,1,154
34188,1991.0,22.0,170544,0,139
34189,1991.0,33.0,429680,0,173
34190,1985.0,23.0,2425,1,145
34191,1985.0,28.0,1972080,0,176
34192,2007.0,14.0,2030,0,198
34193,1989.0,50.0,83565,0,210
34194,2005.0,32.0,1234637,1,195
34195,1998.0,36.0,805010,0,153
34197,2001.0,26.0,39326,1,183
34198,2015.0,42.0,96387,1,153
34199,1986.0,47.0,84891,1,201
34200,2010.0,22.0,805248,0,170
34201,1986.0,15.0,33372,1,162
34202,1996.0,30.0,1210505,0,159
34203,1983.0,18.0,669190,0,193
34204,1997.0,33.0,76378,1,147
34206,2008.0,83.0,77345,1,161
34207,2009.0,23.0,985630,1,161
34208,1993.0,56.0,192814,1,188
34209,2004.0,34.0,45421,1,161
34210,1990.0,80.0,2002751,0,199
34211,2010.0,48.0,57538,1,206
34213,2015.0,42.0,1461699,1,202
34215,1987.0,53.0,70563,1,155
34216,1989.0,44.0,52144,1,161
34217,1991.0,26.0,16119,1,157
34218,2019.0,52.0,1014260,0,180
34219,1987.0,40.0,731969,1,183
34220,1981.0,41.0,135550,1,190
34221,2003.0,25.0,69108,0,173
34222,1987.0,26.0,31031,1,171
34223,2006.0,44.0,262782,1,154
34224,2013.0,27.0,1323572,0,116
34225,1983.0,42.0,86640,0,162
34226,2014.0,52.0,1762684,1,154
34227,2014.0,43.0,1715936,1,189
34229,1983.0,28.0,217848,1,170
34231,1998.0,35.0,391930,0,150
34233,2013.0,37.0,80064,0,149
34234,2009.0,35.0,66374,0,167
34235,2008.0,43.0,911111,0,164
34236,1992.0,43.0,30958,1,148
34238,1997.0,19.0,1332382,1,169
34240,2017.0,50.0,856009,1,187
34241,2009.0,70.0,584320,1,194
34242,2008.0,33.0,897176,0,232
34244,1987.0,38.0,84883,0,160
34246,1999.0,32.0,304258,0,146
34247,2004.0,49.0,132050,1,151
34249,1991.0,24.0,2585019,1,190
34250,2002.0,25.0,96213,0,204
34251,2019.0,16.0,1109119,0,202
34252,2019.0,21.0,666300,0,201
34253,2008.0,42.0,307524,0,183
34254,2010.0,69.0,969492,0,152
34255,1990.0,45.0,1755311,1,206
34256,2019.0,25.0,725401,1,162
34257,1986.0,57.0,378370,1,132
34258,1988.0,44.0,238898,0,159
34259,2003.0,60.0,63494,1,160
34261,1980.0,50.0,227824,0,210
34262,2019.0,14.0,126505,0,188
34263,2003.0,37.0,423397,1,177
34264,1981.0,36.0,498043,1,164
34265,1991.0,21.0,362692,1,149
34266,1984.0,71.0,45576,0,201
34267,2007.0,66.0,1602115,0,136
34269,2016.0,33.0,957945,1,166
34271,2001.0,69.0,627046,0,188
34272,1994.0,14.0,26854,0,189
34273,1983.0,14.0,1168345,0,164
34274,2009.0,48.0,649467,0,179
34276,1983.0,64.0,48751,0,193
34277,1980.0,18.0,1182019,0,166
34278,1986.0,27.0,1297441,0,174
34279,1988.0,15.0,1714083,0,199
34280,1985.0,43.0,395258,1,147
34281,2012.0,91.0,42985124,0,173
34282,1992.0,51.0,56450,0,190
34283,1993.0,27.0,39561,0,176
34284,1984.0,30.0,887977,1,150
34285,1986.0,36.0,21474,0,135
34287,2000.0,20.0,383909,0,191
34288,1993.0,23.0,692175,1,167
34290,2018.0,49.0,17075,1,168
34291,2004.0,21.0,1703538,1,176
34292,1998.0,39.0,1482707,0,209
34293,2014.0,20.0,253051,0,202
34294,2007.0,62.0,2627669,0,175
34295,2012.0,26.0,50911,1,169
34296,1996.0,63.0,1710384,1,165
34297,2008.0,14.0,81501,0,198
34298,2005.0,51.0,7693,1,193
34300,2011.0,56.0,734640,1,133
34301,2012.0,20.0,44362,1,186
34302,2007.0,40.0,27883,1,182
34304,1995.0,39.0,1228341,0,139
34305,1999.0,19.0,2008819,0,159
34306,2007.0,55.0,1994495,1,208
34307,2005.0,59.0,341184,1,202
34308,1987.0,34.0,2982498,1,165
34309,2011.0,30.0,940830,0,185
34310,2010.0,21.0,52010,0,192
34312,1992.0,65.0,85003,0,166
34313,2007.0,32.0,379290,1,149
34315,1996.0,48.0,529819,1,192
34316,1993.0,16.0,29013,0,145
34317,2014.0,40.0,2262557,0,190
34318,2000.0,27.0,2207402,1,201
34320,2012.0,39.0,28341,1,149
34321,1996.0,44.0,72877,0,150
34322,1980.0,56.0,2154150,1,175
34323,1986.0,28.0,109947,1,205
34324,2014.0,25.0,76697,0,202
34325,2000.0,61.0,2001110,0,193
34327,2005.0,31.0,1143195,1,159
34328,2011.0,19.0,1465754,1,182
34331,1983.0,34.0,59175,1,193
34332,1992.0,49.0,19282,0,148
34333,1980.0,25.0,274460,1,149
34334,1980.0,70.0,482178,1,157
34335,1982.0,17.0,1324039,0,171
34336,1987.0,54.0,452575,1,168
34337,1995.0,94.0,207959,1,207
34338,2007.0,45.0,2463539,0,170
34339,2002.0,52.0,1010987,0,152
34340,2004.0,35.0,483267,1,163
34341,2004.0,33.0,1156571,0,197
34342,1987.0,15.0,1482739,0,136
34343,2003.0,30.0,709802,1,173
34344,2003.0,41.0,991439,0,199
34345,1991.0,23.0,969350,1,189
34346,1994.0,42.0,76795,1,183
34348,2006.0,47.0,1917216,1,202
34349,2000.0,36.0,226930,0,194
34350,1997.0,17.0,14240,0,188
34352,1999.0,44.0,50864,0,197
34353,1995.0,17.0,5566,1,196
34354,2016.0,48.0,2262429,0,190
34355,2018.0,39.0,1611588,0,180
34356,1990.0,49.0,16259,1,131
34357,2004.0,18.0,1504673,1,197
34358,2017.0,40.0,489009,0,186
34359,1992.0,34.0,50933,1,167
34360,1984.0,15.0,343818,1,178
34361,2016.0,24.0,2739979,0,216
34363,2009.0,20.0,1003107,0,170
34364,2009.0,23.0,61564,1,184
34365,1988.0,29.0,66113,1,186
34366,2005.0,59.0,517601,1,189
34367,1986.0,23.0,1348545,1,158
34368,1984.0,46.0,639775,1,201
34369,1981.0,52.0,1138999,1,221
34370,1991.0,59.0,2425467,1,196
34371,1990.0,37.0,19008,1,144
34372,1980.0,44.0,2348506,0,194
34373,1989.0,35.0,43895,0,216
34374,2000.0,28.0,584888,0,159
34375,1988.0,34.0,22765,1,210
34376,1981.0,52.0,1881765,1,143
34377,1987.0,48.0,878405,0,182
34378,2009.0,35.0,1961098,1,139
34379,1995.0,14.0,1896972,0,210
34381,2009.0,55.0,2642974,1,166
34382,1984.0,23.0,16552,1,143
34383,1984.0,41.0,1950730,1,163
34384,2015.0,51.0,1561975,0,154
34386,2016.0,15.0,32878,0,177
34388,2015.0,30.0,1394726,1,149
34389,1994.0,42.0,29179,0,145
34390,2016.0,49.0,563778,1,144
34391,2005.0,16.0,697469,0,201
34392,1999.0,31.0,1327835,0,207
34393,2013.0,48.0,679327,1,148
34394,1997.0,33.0,627050,0,210
34396,2007.0,46.0,528655,0,150
34397,2015.0,78.0,1515287,0,163
34398,2013.0,32.0,1195796,1,200
34399,1994.0,42.0,2790508,1,200
34401,2005.0,23.0,325509,0,210
34402,2012.0,37.0,12229,1,206
34403,1982.0,43.0,1128938,1,214
34404,1980.0,34.0,69442,0,164
34406,2005.0,24.0,1089227,1,187
34407,1999.0,38.0,674377,0,181
34409,2010.0,51.0,86993,1,184
34410,1990.0,41.0,1508144,1,145
34411,2019.0,33.0,143734,0,179
34412,1985.0,60.0,87272,0,177
34414,2002.0,15.0,1021267,1,206
34416,2015.0,46.0,10577,0,204
34417,2013.0,47.0,1610029,1,189
34419,1997.0,59.0,5451,1,183
34420,2013.0,59.0,526336,1,163
34423,1992.0,61.0,1808930,0,218
34424,2004.0,73.0,32305,0,187
34425,2016.0,35.0,2682582,0,163
34427,2015.0,26.0,1121356,1,161
34428,1983.0,37.0,36720,0,132
34429,1980.0,26.0,46457,0,167
34430,2008.0,42.0,906762,0,189
34431,2001.0,32.0,1722139,1,155
34432,2001.0,39.0,380013,0,150
34434,1990.0,54.0,1524803,0,189
34435,2018.0,62.0,97772,0,158
34436,2018.0,93.0,310243,1,155
34437,1986.0,20.0,1339837,0,159
34438,1987.0,18.0,1011630,0,162
34439,2008.0,19.0,807260,1,191
34441,2000.0,32.0,79401,1,166
34442,1981.0,24.0,2335151,1,195
34443,1992.0,17.0,788904,1,164
34444,2008.0,36.0,52563,0,171
34445,2013.0,59.0,1674962,1,207
34446,1989.0,14.0,167910,1,173
34447,2006.0,23.0,893295,0,205
34448,2004.0,15.0,68286,1,206
34450,2008.0,31.0,1093979,0,198
34451,1996.0,20.0,864734,1,170
34452,1993.0,21.0,924582,1,127
34454,2007.0,26.0,464581,0,156
34455,2015.0,30.0,2148704,1,168
34458,2016.0,55.0,1407040,1,202
34459,2010.0,17.0,1706293,1,207
34460,2007.0,39.0,45446,0,190
34461,1990.0,61.0,43028,1,180
34462,2018.0,48.0,66271,1,189
34463,1998.0,40.0,72538,1,169
34465,2005.0,44.0,40157,1,142
34466,2013.0,58.0,558929,1,185
34468,1989.0,58.0,20955,1,136
34469,2005.0,43.0,1573088,1,171
34470,1983.0,22.0,425627,1,173
34471,2006.0,53.0,45818,0,181
34474,1983.0,35.0,540937,1,166
34475,2001.0,57.0,63211,1,199
34476,1981.0,37.0,381419,0,163
34477,1988.0,50.0,675053,0,150
34478,1999.0,63.0,921266,1,181
34479,1991.0,17.0,2440827,1,155
34480,1997.0,25.0,132273,0,152
34481,1984.0,33.0,2291,1,195
34482,1997.0,38.0,269565,0,153
34483,1992.0,25.0,1419209,1,175
34484,2013.0,30.0,1471501,1,156
34485,1999.0,20.0,540474,0,191
34487,2002.0,15.0,454781,0,180
34488,1986.0,36.0,954783,0,146
34489,2001.0,58.0,360069,0,172
34490,2019.0,16.0,21947,0,159
34491,2003.0,39.0,86883,1,198
34492,1999.0,21.0,28286,1,175
34494,2003.0,32.0,484244,0,162
34495,2004.0,42.0,29828,1,165
34497,1991.0,31.0,1013246,0,192
34498,1994.0,32.0,1052509,1,200
34499,1991.0,46.0,82411,1,142
34500,2009.0,22.0,1760619,0,168
34501,1992.0,33.0,77266,1,175
34503,1992.0,36.0,56650,0,200
34504,2003.0,39.0,2467042,1,165
34505,1983.0,46.0,1383290,0,197
34507,1998.0,18.0,1424877,1,141
34508,1999.0,37.0,1871987,1,172
34510,2010.0,19.0,54676,0,208
34511,1990.0,25.0,264577,0,166
34512,1997.0,18.0,27000,1,175
34513,1997.0,47.0,1836623,0,166
34514,1980.0,16.0,1180289,1,152
34515,1987.0,22.0,364020,1,164
34516,1991.0,20.0,502756,1,170
34518,1989.0,58.0,721563,0,198
34519,1980.0,26.0,75319,1,183
34520,2009.0,59.0,98338,1,180
34522,1992.0,26.0,81595,1,210
34523,2009.0,36.0,500979,1,179
34524,1994.0,65.0,1255648,0,198
34525,1985.0,34.0,1548935,1,152
34526,2013.0,58.0,2109454,0,165
34527,2001.0,33.0,1127899,0,190
34528,2008.0,31.0,1031987,0,167
34529,2015.0,50.0,2067707,0,160
34530,1982.0,48.0,72478,0,177
34531,1984.0,31.0,1255634,1,161
34532,2015.0,17.0,976664,0,170
34534,1993.0,58.0,34181,1,187
34535,2019.0,17.0,1174586,0,171
34536,2005.0,51.0,1623670,0,162
34538,2005.0,41.0,342098,0,159
34539,1980.0,38.0,638785,1,211
34540,2002.0,70.0,1320231,0,158
34541,1988.0,31.0,281037,1,172
34542,1982.0,20.0,1198041,1,165
34543,1986.0,70.0,1540495,1,163
34544,2018.0,27.0,646692,0,162
34545,1985.0,21.0,503986,0,163
34546,2015.0,17.0,38824,0,150
34548,1990.0,14.0,67293,1,172
34550,1992.0,37.0,1994865,0,161
34551,2017.0,18.0,57507,1,208
34552,1989.0,72.0,1498859,1,162
34553,1998.0,24.0,4364,1,202
34554,1984.0,62.0,43745,0,157
34555,2000.0,27.0,1753126,0,156
34556,1986.0,32.0,503052,1,210
34557,1991.0,54.0,46186,0,174
34558,2000.0,29.0,33301,1,164
34559,2016.0,14.0,266599,0,169
34561,1981.0,75.0,1955844,1,157
34563,1987.0,41.0,794690,1,144
34564,1985.0,43.0,93380,0,198
34566,1990.0,16.0,303114,1,179
34567,2003.0,55.0,429894,0,191
34568,2009.0,34.0,506350,0,189
34569,1999.0,57.0,313779,1,167
34571,1999.0,48.0,291277,0,197
34572,2011.0,28.0,82858,0,172
34573,2005.0,53.0,74376,1,172
34574,2011.0,34.0,1615146,1,155
34575,2017.0,40.0,72552,1,205
34576,2016.0,40.0,274295,1,145
34577,2002.0,65.0,92367,1,199
34578,1998.0,15.0,37195,1,166
34579,1999.0,38.0,1382417,1,169
34580,1985.0,39.0,1230929,1,197
34581,1981.0,36.0,1516068,1,154
34582,2001.0,37.0,137632,0,208
34583,1997.0,29.0,35020,0,147
34584,2012.0,18.0,70784,1,137
34585,1990.0,39.0,467342,1,207
34586,1989.0,25.0,640285,1,164
34587,1988.0,69.0,1787883,0,172
34588,2003.0,65.0,103026,1,134
34590,2014.0,23.0,1479312,1,183
34591,2019.0,69.0,1949337,0,182
34592,2014.0,54.0,621437,0,170
34593,2007.0,48.0,2751894,1,172
34594,1986.0,56.0,463060,1,184
34595,2000.0,17.0,1217775,1,211
34597,2013.0,48.0,637111,1,150
34599,1981.0,49.0,22149,0,143
34601,2009.0,15.0,651221,1,182
34602,1998.0,46.0,531187,1,189
34603,2019.0,39.0,2151459,0,160
34604,1981.0,18.0,1080468,0,158
34605,1989.0,42.0,549218,1,197
34606,2016.0,33.0,1225319,0,180
34607,1989.0,22.0,1820731,0,190
34608,2014.0,54.0,71415,1,152
34609,1996.0,26.0,45421,0,185
34611,2012.0,23.0,431403,0,168
34612,1996.0,35.0,746288,0,183
34613,2004.0,26.0,1204784,0,206
34614,2012.0,45.0,698009,0,211
34615,2011.0,21.0,55045,0,211
34616,1994.0,30.0,88856,1,146
34617,1981.0,29.0,613636,1,209
34618,2015.0,40.0,1701085,0,209
34619,1983.0,28.0,2496397,1,153
34621,2015.0,21.0,397484,0,181
34622,1991.0,51.0,1552331,1,210
34625,1992.0,57.0,146297,0,168
34626,1995.0,25.0,873990,1,176
34627,2002.0,18.0,52741,1,170
34628,2004.0,15.0,1134698,1,207
34629,2006.0,26.0,622456,0,152
34630,1991.0,48.0,632525,1,201
34631,1984.0,38.0,286242,1,194
34632,1987.0,39.0,363490,1,203
34634,2011.0,43.0,1005067,0,197
34635,1985.0,32.0,847880,1,153
34636,2017.0,44.0,2100361,0,172
34638,1999.0,18.0,3730,1,168
34640,1987.0,81.0,54468,1,136
34641,2003.0,38.0,1609572,0,162
34642,1991.0,15.0,2161804,1,173
34646,1996.0,30.0,1548773,1,194
34647,2012.0,26.0,57534,0,151
34648,2019.0,20.0,927443,0,178
34649,1997.0,58.0,2590352,0,143
34650,1988.0,29.0,133541,0,153
34651,1995.0,19.0,78365,1,156
34652,2011.0,63.0,20630,1,168
34653,2004.0,38.0,1357255,0,153
34654,2012.0,26.0,84219,1,176
34655,2003.0,50.0,1305798,0,183
34656,2014.0,18.0,320110,0,176
34657,2007.0,52.0,21356,0,190
34658,1993.0,55.0,72101,0,178
34659,2000.0,33.0,69565,1,143
34660,1996.0,18.0,934457,1,164
34661,1982.0,18.0,23945,0,193
34662,1993.0,47.0,588110,1,180
34663,2019.0,42.0,739078,0,172
34664,1987.0,28.0,382826,0,159
34665,2016.0,15.0,1507443,0,198
34666,2014.0,21.0,2739372,1,169
34668,1997.0,48.0,1596441,0,155
34669,1999.0,18.0,1437397,0,168
34670,1993.0,17.0,2955280,0,195
34671,1981.0,32.0,62945,0,180
34672,2006.0,64.0,1128320,0,152
34675,2009.0,42.0,514872,0,160
34677,1989.0,47.0,1761866,0,177
34679,1999.0,42.0,24119,1,150
34680,2006.0,35.0,307330,0,180
34681,1984.0,36.0,1458071,1,160
34682,2010.0,30.0,1363411,0,180
34683,2009.0,26.0,41265,1,188
34684,2013.0,29.0,2575286,0,160
34685,2002.0,65.0,54788,0,155
34686,1986.0,17.0,146932,1,198
34687,1980.0,50.0,30014,1,178
34688,1992.0,27.0,694274,0,177
34689,2002.0,33.0,392145,1,190
34691,1992.0,22.0,1622574,0,173
34692,2008.0,51.0,1227893,1,198
34693,1988.0,64.0,263940,0,183
34694,1994.0,49.0,753370,1,161
34695,2016.0,61.0,67061,1,200
34696,2016.0,39.0,688711,1,164
34697,1980.0,29.0,758692,0,150
34698,1988.0,63.0,9045,1,202
34701,2015.0,64.0,207878,1,152
34702,1983.0,64.0,18308,0,190
34703,2011.0,26.0,48412,1,201
34704,1994.0,19.0,926412,1,155
34705,2015.0,19.0,247896,1,192
34706,1987.0,21.0,1267930,1,195
34707,2011.0,18.0,1937836,1,199
34708,2016.0,29.0,875860,1,247
34709,1992.0,33.0,17555685,0,166
34710,2018.0,58.0,13559,0,202
34713,1990.0,32.0,1045078,1,159
34716,2002.0,15.0,93855,0,141
34717,2007.0,37.0,290944,0,201
34719,1980.0,27.0,62234,0,135
34720,1986.0,25.0,366053,0,177
34721,1989.0,19.0,774729,1,151
34722,2001.0,15.0,780926,1,185
34723,2006.0,46.0,778506,1,153
34725,1997.0,20.0,26779,0,182
34726,2017.0,47.0,1294170,0,144
34727,1991.0,19.0,182856,0,143
34729,2002.0,17.0,1717965,0,189
34730,1983.0,20.0,723355,0,156
34732,2007.0,69.0,431241,1,184
34733,2002.0,20.0,1719194,1,167
34734,1998.0,17.0,589032,1,166
34735,2015.0,59.0,622277,0,153
34736,1991.0,48.0,59908,0,189
34737,1989.0,40.0,74895,1,177
34738,2009.0,33.0,812632,0,162
34739,1983.0,30.0,11204,1,141
34740,2014.0,64.0,195604,0,187
34741,1982.0,21.0,1075385,1,145
34743,2004.0,38.0,1941067,0,181
34744,2009.0,36.0,641836,0,170
34745,1989.0,16.0,137213,1,202
34747,1981.0,22.0,678504,0,158
34748,2004.0,45.0,2995986,0,153
34749,1998.0,32.0,488016,1,194
34750,2015.0,36.0,2489948,0,189
34751,2013.0,47.0,2061340,1,191
34753,2010.0,29.0,407511,1,194
34754,2011.0,32.0,9778,0,165
34755,2008.0,32.0,725509,0,168
34756,2017.0,59.0,2363354,0,161
34757,2015.0,32.0,763,0,178
34758,1986.0,84.0,521638,1,159
34759,2017.0,17.0,1406949,0,154
34760,2016.0,44.0,9892,0,159
34764,2014.0,34.0,45777,0,162
34765,1983.0,32.0,705570,0,204
34767,1982.0,49.0,85260,1,171
34768,2010.0,55.0,492110,1,188
34769,2017.0,16.0,915953,1,198
34772,2013.0,30.0,3022293,1,198
34773,2016.0,48.0,405050,1,163
34776,2008.0,40.0,2001654,1,153
34777,1985.0,14.0,80852,0,174
34778,2010.0,27.0,74341,1,150
34779,1980.0,18.0,2459875,0,175
34780,1995.0,21.0,1190980,0,186
34781,1983.0,49.0,73100,1,200
34782,1996.0,53.0,82719,1,181
34783,1993.0,18.0,28825,0,155
34785,1982.0,18.0,81275,1,212
34786,2003.0,49.0,412,1,190
34787,2006.0,19.0,586771,1,180
34788,1994.0,59.0,763429,0,205
34789,2015.0,31.0,399054,1,174
34790,1995.0,46.0,1562751,0,170
34791,2012.0,17.0,1580204,1,185
34793,1990.0,23.0,63094,0,180
34794,2014.0,39.0,20379,0,154
34795,1982.0,15.0,46945,0,168
34796,1988.0,50.0,1605223,0,171
34797,1992.0,46.0,66732,1,145
34799,1981.0,39.0,770979,0,180
